real,R0,R1,R2,Rt
57,0.5025025025025025,0.001,0.0,0.0002
58,0.5025025025025025,0.001,0.0,0.0002
59,0.5025025025025025,0.001,0.0,0.0002
60,0.5025025025025025,0.001,0.0,0.0002
61,0.5025025025025025,0.001,0.0,0.0002
62,0.5025025025025025,0.001,0.00025,0.0004
63,0.5025025025025025,0.001,0.0,0.0002
64,0.5025025025025025,0.001,0.000125,0.0003
65,0.5025025025025025,0.001,0.0,0.0002
66,0.5025025025025025,0.001,0.0,0.0002
67,0.5025025025025025,0.001,0.000125,0.0003
68,0.5025025025025025,0.0015,0.000125,0.0004
69,0.5025025025025025,0.001,0.0,0.0002
70,0.5025025025025025,0.001,0.0,0.0002
71,0.5025025025025025,0.001,0.0,0.0002
72,0.5025025025025025,0.001,0.0,0.0002
73,0.5025025025025025,0.001,0.0,0.0002
74,0.5025025025025025,0.001,0.0,0.0002
75,0.5025025025025025,0.001,0.0,0.0002
76,0.5025025025025025,0.001,0.0,0.0002
77,0.5025025025025025,0.001,0.0,0.0002
78,0.5025025025025025,0.001,0.0,0.0002
79,0.5025025025025025,0.001,0.0,0.0002
80,0.5025025025025025,0.001,0.0,0.0002
81,0.5025025025025025,0.001,0.0,0.0002
82,0.5025025025025025,0.001,0.0,0.0002
83,0.5025025025025025,0.0015,0.0,0.0003
84,0.5025025025025025,0.001,0.0,0.0002
85,0.5025025025025025,0.001,0.00025,0.0004
86,0.5025025025025025,0.001,0.0,0.0002
87,0.5025025025025025,0.0015,0.000125,0.0004
88,0.5025025025025025,0.001,0.000125,0.0003
89,0.5025025025025025,0.0015,0.001,0.0011
90,0.5025025025025025,0.001,0.0,0.0002
91,0.5025025025025025,0.0035,0.000125,0.0008
92,0.5025025025025025,0.001,0.000125,0.0003
93,0.5025025025025025,0.001,0.0,0.0002
94,0.5025025025025025,0.0025,0.001125,0.0014
95,0.5025025025025025,0.001,0.000125,0.0003
96,0.5025025025025025,0.001,0.000125,0.0003
97,0.5025025025025025,0.002,0.000375,0.0007
98,0.5025025025025025,0.001,0.0,0.0002
99,0.5025025025025025,0.001,0.0005,0.0006
0,0.505005005005005,0.001,0.0,0.0002
1,0.505005005005005,0.001,0.00025,0.0004
2,0.505005005005005,0.001,0.0,0.0002
3,0.505005005005005,0.0025,0.000125,0.0006
4,0.505005005005005,0.001,0.0,0.0002
5,0.505005005005005,0.001,0.0,0.0002
6,0.505005005005005,0.001,0.0,0.0002
7,0.505005005005005,0.001,0.000125,0.0003
8,0.505005005005005,0.001,0.0,0.0002
9,0.505005005005005,0.0015,0.0,0.0003
10,0.505005005005005,0.001,0.0,0.0002
11,0.505005005005005,0.001,0.0,0.0002
12,0.505005005005005,0.0015,0.000125,0.0004
13,0.505005005005005,0.0015,0.0,0.0003
14,0.505005005005005,0.001,0.0,0.0002
15,0.505005005005005,0.001,0.000125,0.0003
16,0.505005005005005,0.001,0.000125,0.0003
17,0.505005005005005,0.001,0.0,0.0002
18,0.505005005005005,0.001,0.0,0.0002
19,0.505005005005005,0.001,0.00025,0.0004
20,0.505005005005005,0.002,0.000125,0.0005
21,0.505005005005005,0.001,0.0,0.0002
22,0.505005005005005,0.001,0.000125,0.0003
23,0.505005005005005,0.001,0.0,0.0002
24,0.505005005005005,0.001,0.0,0.0002
25,0.505005005005005,0.001,0.000375,0.0005
26,0.505005005005005,0.001,0.000125,0.0003
27,0.505005005005005,0.001,0.000125,0.0003
28,0.505005005005005,0.001,0.000125,0.0003
29,0.505005005005005,0.001,0.0,0.0002
30,0.505005005005005,0.0015,0.000125,0.0004
31,0.505005005005005,0.001,0.000125,0.0003
32,0.505005005005005,0.0015,0.0,0.0003
33,0.505005005005005,0.001,0.0,0.0002
34,0.505005005005005,0.001,0.0,0.0002
35,0.505005005005005,0.001,0.0,0.0002
36,0.505005005005005,0.0015,0.0,0.0003
37,0.505005005005005,0.001,0.0,0.0002
38,0.505005005005005,0.001,0.000125,0.0003
39,0.505005005005005,0.001,0.000125,0.0003
40,0.505005005005005,0.001,0.0,0.0002
41,0.505005005005005,0.001,0.0,0.0002
42,0.505005005005005,0.001,0.0,0.0002
43,0.505005005005005,0.001,0.0,0.0002
44,0.505005005005005,0.001,0.0,0.0002
45,0.505005005005005,0.001,0.0,0.0002
46,0.505005005005005,0.001,0.0,0.0002
47,0.505005005005005,0.001,0.0,0.0002
48,0.505005005005005,0.001,0.0,0.0002
49,0.505005005005005,0.001,0.000125,0.0003
50,0.505005005005005,0.001,0.0,0.0002
51,0.505005005005005,0.001,0.0,0.0002
52,0.505005005005005,0.001,0.0,0.0002
53,0.505005005005005,0.001,0.000125,0.0003
54,0.505005005005005,0.001,0.0,0.0002
55,0.505005005005005,0.001,0.0,0.0002
56,0.505005005005005,0.0015,0.000375,0.0006
57,0.505005005005005,0.001,0.000125,0.0003
58,0.505005005005005,0.0015,0.0,0.0003
59,0.505005005005005,0.0015,0.0,0.0003
60,0.505005005005005,0.001,0.000125,0.0003
61,0.505005005005005,0.0015,0.0,0.0003
62,0.505005005005005,0.001,0.000125,0.0003
63,0.505005005005005,0.0015,0.00025,0.0005
64,0.505005005005005,0.001,0.000125,0.0003
65,0.505005005005005,0.001,0.0,0.0002
66,0.505005005005005,0.002,0.000125,0.0005
67,0.505005005005005,0.001,0.0,0.0002
68,0.505005005005005,0.001,0.000125,0.0003
69,0.505005005005005,0.001,0.0,0.0002
70,0.505005005005005,0.001,0.0,0.0002
71,0.505005005005005,0.001,0.0,0.0002
72,0.505005005005005,0.001,0.0,0.0002
73,0.505005005005005,0.001,0.0,0.0002
74,0.505005005005005,0.002,0.000125,0.0005
75,0.505005005005005,0.001,0.000125,0.0003
76,0.505005005005005,0.001,0.0,0.0002
77,0.505005005005005,0.001,0.0,0.0002
78,0.505005005005005,0.001,0.0,0.0002
79,0.505005005005005,0.001,0.00025,0.0004
80,0.505005005005005,0.001,0.0005,0.0006
81,0.505005005005005,0.001,0.0,0.0002
82,0.505005005005005,0.0015,0.0,0.0003
83,0.505005005005005,0.001,0.0,0.0002
84,0.505005005005005,0.001,0.0,0.0002
85,0.505005005005005,0.002,0.0,0.0004
86,0.505005005005005,0.001,0.000125,0.0003
87,0.505005005005005,0.001,0.0,0.0002
88,0.505005005005005,0.001,0.000125,0.0003
89,0.505005005005005,0.0015,0.000125,0.0004
90,0.505005005005005,0.001,0.000375,0.0005
91,0.505005005005005,0.001,0.0,0.0002
92,0.505005005005005,0.001,0.0,0.0002
93,0.505005005005005,0.001,0.00075,0.0008
94,0.505005005005005,0.001,0.000125,0.0003
95,0.505005005005005,0.001,0.000125,0.0003
96,0.505005005005005,0.001,0.000125,0.0003
97,0.505005005005005,0.001,0.0,0.0002
98,0.505005005005005,0.0015,0.0,0.0003
99,0.505005005005005,0.001,0.0,0.0002
0,0.5075075075075075,0.001,0.00025,0.0004
1,0.5075075075075075,0.001,0.000125,0.0003
2,0.5075075075075075,0.001,0.0,0.0002
3,0.5075075075075075,0.0015,0.0,0.0003
4,0.5075075075075075,0.001,0.000125,0.0003
5,0.5075075075075075,0.001,0.001125,0.0011
6,0.5075075075075075,0.001,0.0,0.0002
7,0.5075075075075075,0.001,0.0,0.0002
8,0.5075075075075075,0.001,0.0,0.0002
9,0.5075075075075075,0.001,0.0,0.0002
10,0.5075075075075075,0.001,0.0,0.0002
11,0.5075075075075075,0.001,0.0,0.0002
12,0.5075075075075075,0.001,0.0,0.0002
13,0.5075075075075075,0.001,0.0,0.0002
14,0.5075075075075075,0.001,0.0,0.0002
15,0.5075075075075075,0.001,0.0,0.0002
16,0.5075075075075075,0.001,0.000125,0.0003
17,0.5075075075075075,0.0015,0.0,0.0003
18,0.5075075075075075,0.001,0.0,0.0002
19,0.5075075075075075,0.001,0.00025,0.0004
20,0.5075075075075075,0.001,0.0,0.0002
21,0.5075075075075075,0.001,0.0,0.0002
22,0.5075075075075075,0.001,0.0,0.0002
23,0.5075075075075075,0.0015,0.00025,0.0005
24,0.5075075075075075,0.002,0.0,0.0004
25,0.5075075075075075,0.001,0.0,0.0002
26,0.5075075075075075,0.001,0.0,0.0002
27,0.5075075075075075,0.001,0.000125,0.0003
28,0.5075075075075075,0.001,0.0,0.0002
29,0.5075075075075075,0.001,0.0,0.0002
30,0.5075075075075075,0.001,0.0,0.0002
31,0.5075075075075075,0.001,0.000125,0.0003
32,0.5075075075075075,0.001,0.0,0.0002
33,0.5075075075075075,0.001,0.0,0.0002
34,0.5075075075075075,0.001,0.0,0.0002
35,0.5075075075075075,0.0015,0.000125,0.0004
36,0.5075075075075075,0.002,0.0,0.0004
37,0.5075075075075075,0.001,0.0,0.0002
38,0.5075075075075075,0.001,0.000125,0.0003
39,0.5075075075075075,0.0015,0.0,0.0003
40,0.5075075075075075,0.001,0.000125,0.0003
41,0.5075075075075075,0.001,0.0,0.0002
42,0.5075075075075075,0.001,0.0,0.0002
43,0.5075075075075075,0.001,0.0,0.0002
44,0.5075075075075075,0.001,0.0,0.0002
45,0.5075075075075075,0.001,0.0,0.0002
46,0.5075075075075075,0.001,0.0,0.0002
47,0.5075075075075075,0.001,0.000125,0.0003
48,0.5075075075075075,0.0015,0.00025,0.0005
49,0.5075075075075075,0.001,0.0,0.0002
50,0.5075075075075075,0.0015,0.000125,0.0004
51,0.5075075075075075,0.001,0.000125,0.0003
52,0.5075075075075075,0.001,0.0,0.0002
53,0.5075075075075075,0.001,0.000125,0.0003
54,0.5075075075075075,0.0015,0.0,0.0003
55,0.5075075075075075,0.002,0.0,0.0004
56,0.5075075075075075,0.001,0.0,0.0002
57,0.5075075075075075,0.001,0.0,0.0002
58,0.5075075075075075,0.001,0.0,0.0002
59,0.5075075075075075,0.001,0.0,0.0002
60,0.5075075075075075,0.001,0.00025,0.0004
61,0.5075075075075075,0.001,0.0,0.0002
62,0.5075075075075075,0.0015,0.0,0.0003
63,0.5075075075075075,0.001,0.0,0.0002
64,0.5075075075075075,0.001,0.0,0.0002
65,0.5075075075075075,0.001,0.0,0.0002
66,0.5075075075075075,0.002,0.0,0.0004
67,0.5075075075075075,0.001,0.0,0.0002
68,0.5075075075075075,0.001,0.0,0.0002
69,0.5075075075075075,0.001,0.0,0.0002
70,0.5075075075075075,0.002,0.000625,0.0009
71,0.5075075075075075,0.0015,0.0,0.0003
72,0.5075075075075075,0.001,0.0,0.0002
73,0.5075075075075075,0.001,0.000125,0.0003
74,0.5075075075075075,0.001,0.0,0.0002
75,0.5075075075075075,0.001,0.0,0.0002
76,0.5075075075075075,0.001,0.0,0.0002
77,0.5075075075075075,0.001,0.000125,0.0003
78,0.5075075075075075,0.001,0.0,0.0002
79,0.5075075075075075,0.002,0.000125,0.0005
80,0.5075075075075075,0.002,0.0,0.0004
81,0.5075075075075075,0.0015,0.000125,0.0004
82,0.5075075075075075,0.001,0.0,0.0002
83,0.5075075075075075,0.002,0.000375,0.0007
84,0.5075075075075075,0.001,0.0,0.0002
85,0.5075075075075075,0.001,0.0,0.0002
86,0.5075075075075075,0.001,0.000375,0.0005
87,0.5075075075075075,0.0015,0.00025,0.0005
88,0.5075075075075075,0.0015,0.0,0.0003
89,0.5075075075075075,0.0025,0.000375,0.0008
90,0.5075075075075075,0.002,0.000125,0.0005
91,0.5075075075075075,0.0015,0.0005,0.0007
92,0.5075075075075075,0.001,0.0,0.0002
93,0.5075075075075075,0.0015,0.0,0.0003
94,0.5075075075075075,0.0015,0.0,0.0003
95,0.5075075075075075,0.001,0.0,0.0002
96,0.5075075075075075,0.0015,0.00025,0.0005
97,0.5075075075075075,0.001,0.0,0.0002
98,0.5075075075075075,0.001,0.0,0.0002
99,0.5075075075075075,0.001,0.000125,0.0003
0,0.51001001001001,0.001,0.0,0.0002
1,0.51001001001001,0.001,0.0,0.0002
2,0.51001001001001,0.001,0.0,0.0002
3,0.51001001001001,0.001,0.0,0.0002
4,0.51001001001001,0.001,0.0,0.0002
5,0.51001001001001,0.001,0.0,0.0002
6,0.51001001001001,0.001,0.0,0.0002
7,0.51001001001001,0.001,0.0,0.0002
8,0.51001001001001,0.001,0.0,0.0002
9,0.51001001001001,0.001,0.0,0.0002
10,0.51001001001001,0.001,0.0,0.0002
11,0.51001001001001,0.001,0.000125,0.0003
12,0.51001001001001,0.001,0.000125,0.0003
13,0.51001001001001,0.001,0.000125,0.0003
14,0.51001001001001,0.001,0.0,0.0002
15,0.51001001001001,0.001,0.0,0.0002
16,0.51001001001001,0.001,0.0,0.0002
17,0.51001001001001,0.001,0.0,0.0002
18,0.51001001001001,0.001,0.0,0.0002
19,0.51001001001001,0.0015,0.000125,0.0004
20,0.51001001001001,0.001,0.0,0.0002
21,0.51001001001001,0.001,0.000125,0.0003
22,0.51001001001001,0.001,0.0,0.0002
23,0.51001001001001,0.001,0.0,0.0002
24,0.51001001001001,0.001,0.000125,0.0003
25,0.51001001001001,0.001,0.0,0.0002
26,0.51001001001001,0.0015,0.0,0.0003
27,0.51001001001001,0.001,0.0,0.0002
28,0.51001001001001,0.001,0.0,0.0002
29,0.51001001001001,0.0015,0.0,0.0003
30,0.51001001001001,0.0015,0.000125,0.0004
31,0.51001001001001,0.001,0.0,0.0002
32,0.51001001001001,0.001,0.0,0.0002
33,0.51001001001001,0.001,0.00075,0.0008
34,0.51001001001001,0.001,0.0,0.0002
35,0.51001001001001,0.001,0.0,0.0002
36,0.51001001001001,0.001,0.0,0.0002
37,0.51001001001001,0.002,0.0,0.0004
38,0.51001001001001,0.0015,0.0,0.0003
39,0.51001001001001,0.001,0.0,0.0002
40,0.51001001001001,0.0015,0.00025,0.0005
41,0.51001001001001,0.001,0.0,0.0002
42,0.51001001001001,0.001,0.0,0.0002
43,0.51001001001001,0.001,0.000125,0.0003
44,0.51001001001001,0.001,0.0,0.0002
45,0.51001001001001,0.001,0.000125,0.0003
46,0.51001001001001,0.001,0.0,0.0002
47,0.51001001001001,0.001,0.0,0.0002
48,0.51001001001001,0.001,0.0,0.0002
49,0.51001001001001,0.001,0.0,0.0002
50,0.51001001001001,0.001,0.000125,0.0003
51,0.51001001001001,0.0015,0.0,0.0003
52,0.51001001001001,0.001,0.0,0.0002
53,0.51001001001001,0.0025,0.0,0.0005
54,0.51001001001001,0.001,0.0,0.0002
55,0.51001001001001,0.001,0.0,0.0002
56,0.51001001001001,0.001,0.0,0.0002
57,0.51001001001001,0.001,0.0,0.0002
58,0.51001001001001,0.001,0.0,0.0002
59,0.51001001001001,0.001,0.000125,0.0003
60,0.51001001001001,0.001,0.0,0.0002
61,0.51001001001001,0.0015,0.0,0.0003
62,0.51001001001001,0.0015,0.0,0.0003
63,0.51001001001001,0.0015,0.0,0.0003
64,0.51001001001001,0.0015,0.0,0.0003
65,0.51001001001001,0.001,0.00025,0.0004
66,0.51001001001001,0.001,0.0,0.0002
67,0.51001001001001,0.001,0.0,0.0002
68,0.51001001001001,0.0015,0.000125,0.0004
69,0.51001001001001,0.001,0.0,0.0002
70,0.51001001001001,0.001,0.0,0.0002
71,0.51001001001001,0.0015,0.0,0.0003
72,0.51001001001001,0.001,0.0,0.0002
73,0.51001001001001,0.001,0.0,0.0002
74,0.51001001001001,0.001,0.000125,0.0003
75,0.51001001001001,0.001,0.0,0.0002
76,0.51001001001001,0.001,0.0,0.0002
77,0.51001001001001,0.001,0.0,0.0002
78,0.51001001001001,0.001,0.0,0.0002
79,0.51001001001001,0.001,0.0,0.0002
80,0.51001001001001,0.001,0.0,0.0002
81,0.51001001001001,0.001,0.0,0.0002
82,0.51001001001001,0.001,0.0,0.0002
83,0.51001001001001,0.001,0.0,0.0002
84,0.51001001001001,0.0015,0.000125,0.0004
85,0.51001001001001,0.001,0.0,0.0002
86,0.51001001001001,0.001,0.0,0.0002
87,0.51001001001001,0.001,0.0,0.0002
88,0.51001001001001,0.001,0.0,0.0002
89,0.51001001001001,0.001,0.0,0.0002
90,0.51001001001001,0.0015,0.0,0.0003
91,0.51001001001001,0.001,0.0,0.0002
92,0.51001001001001,0.001,0.0,0.0002
93,0.51001001001001,0.001,0.000125,0.0003
94,0.51001001001001,0.001,0.0,0.0002
95,0.51001001001001,0.0045,0.0005,0.0013
96,0.51001001001001,0.001,0.0,0.0002
97,0.51001001001001,0.0015,0.0,0.0003
98,0.51001001001001,0.001,0.000125,0.0003
99,0.51001001001001,0.001,0.0,0.0002
0,0.5125125125125125,0.0015,0.000125,0.0004
1,0.5125125125125125,0.001,0.0,0.0002
2,0.5125125125125125,0.001,0.000125,0.0003
3,0.5125125125125125,0.002,0.0,0.0004
4,0.5125125125125125,0.0015,0.0,0.0003
5,0.5125125125125125,0.001,0.0,0.0002
6,0.5125125125125125,0.0015,0.0,0.0003
7,0.5125125125125125,0.001,0.0,0.0002
8,0.5125125125125125,0.001,0.0,0.0002
9,0.5125125125125125,0.001,0.0,0.0002
10,0.5125125125125125,0.002,0.0,0.0004
11,0.5125125125125125,0.001,0.0,0.0002
12,0.5125125125125125,0.0015,0.000125,0.0004
13,0.5125125125125125,0.001,0.0,0.0002
14,0.5125125125125125,0.001,0.0,0.0002
15,0.5125125125125125,0.002,0.000125,0.0005
16,0.5125125125125125,0.001,0.0,0.0002
17,0.5125125125125125,0.001,0.0,0.0002
18,0.5125125125125125,0.001,0.0,0.0002
19,0.5125125125125125,0.001,0.000125,0.0003
20,0.5125125125125125,0.0045,0.00025,0.0011
21,0.5125125125125125,0.001,0.0,0.0002
22,0.5125125125125125,0.001,0.0,0.0002
23,0.5125125125125125,0.002,0.0,0.0004
24,0.5125125125125125,0.001,0.0,0.0002
25,0.5125125125125125,0.001,0.0,0.0002
26,0.5125125125125125,0.001,0.0,0.0002
27,0.5125125125125125,0.0015,0.00025,0.0005
28,0.5125125125125125,0.001,0.0,0.0002
29,0.5125125125125125,0.001,0.0,0.0002
30,0.5125125125125125,0.001,0.0,0.0002
31,0.5125125125125125,0.001,0.0,0.0002
32,0.5125125125125125,0.0015,0.0005,0.0007
33,0.5125125125125125,0.001,0.0,0.0002
34,0.5125125125125125,0.001,0.0,0.0002
35,0.5125125125125125,0.003,0.000875,0.0013
36,0.5125125125125125,0.0015,0.0,0.0003
37,0.5125125125125125,0.0025,0.001,0.0013
38,0.5125125125125125,0.001,0.0,0.0002
39,0.5125125125125125,0.001,0.0,0.0002
40,0.5125125125125125,0.001,0.0,0.0002
41,0.5125125125125125,0.001,0.000125,0.0003
42,0.5125125125125125,0.001,0.0,0.0002
43,0.5125125125125125,0.001,0.0,0.0002
44,0.5125125125125125,0.001,0.0,0.0002
45,0.5125125125125125,0.001,0.0,0.0002
46,0.5125125125125125,0.001,0.0,0.0002
47,0.5125125125125125,0.001,0.0,0.0002
48,0.5125125125125125,0.001,0.0,0.0002
49,0.5125125125125125,0.0015,0.0,0.0003
50,0.5125125125125125,0.001,0.0,0.0002
51,0.5125125125125125,0.001,0.0,0.0002
52,0.5125125125125125,0.001,0.0,0.0002
53,0.5125125125125125,0.001,0.000125,0.0003
54,0.5125125125125125,0.001,0.0,0.0002
55,0.5125125125125125,0.002,0.001,0.0012
56,0.5125125125125125,0.001,0.0,0.0002
57,0.5125125125125125,0.001,0.0,0.0002
58,0.5125125125125125,0.001,0.0,0.0002
59,0.5125125125125125,0.001,0.0,0.0002
60,0.5125125125125125,0.0015,0.0,0.0003
61,0.5125125125125125,0.001,0.0,0.0002
62,0.5125125125125125,0.001,0.0,0.0002
63,0.5125125125125125,0.001,0.00075,0.0008
64,0.5125125125125125,0.0035,0.000375,0.001
65,0.5125125125125125,0.001,0.0,0.0002
66,0.5125125125125125,0.001,0.0,0.0002
67,0.5125125125125125,0.001,0.0,0.0002
68,0.5125125125125125,0.001,0.0,0.0002
69,0.5125125125125125,0.001,0.0,0.0002
70,0.5125125125125125,0.001,0.0,0.0002
71,0.5125125125125125,0.001,0.000125,0.0003
72,0.5125125125125125,0.0015,0.00025,0.0005
73,0.5125125125125125,0.001,0.0,0.0002
74,0.5125125125125125,0.001,0.0,0.0002
75,0.5125125125125125,0.001,0.0,0.0002
76,0.5125125125125125,0.001,0.0,0.0002
77,0.5125125125125125,0.001,0.0,0.0002
78,0.5125125125125125,0.0015,0.0,0.0003
79,0.5125125125125125,0.001,0.0,0.0002
80,0.5125125125125125,0.0015,0.00025,0.0005
81,0.5125125125125125,0.001,0.000125,0.0003
82,0.5125125125125125,0.001,0.000125,0.0003
83,0.5125125125125125,0.001,0.0,0.0002
84,0.5125125125125125,0.0015,0.0,0.0003
85,0.5125125125125125,0.001,0.000125,0.0003
86,0.5125125125125125,0.0015,0.000125,0.0004
87,0.5125125125125125,0.001,0.00025,0.0004
88,0.5125125125125125,0.0015,0.000375,0.0006
89,0.5125125125125125,0.0015,0.000125,0.0004
90,0.5125125125125125,0.001,0.0,0.0002
91,0.5125125125125125,0.0025,0.00025,0.0007
92,0.5125125125125125,0.001,0.0,0.0002
93,0.5125125125125125,0.001,0.0,0.0002
94,0.5125125125125125,0.001,0.0,0.0002
95,0.5125125125125125,0.001,0.000125,0.0003
96,0.5125125125125125,0.001,0.000125,0.0003
97,0.5125125125125125,0.001,0.0,0.0002
98,0.5125125125125125,0.001,0.0,0.0002
