real,R0,R1,R2,Rt
90,0.5,0.0015,0.0,0.0003
91,0.5,0.001,0.0,0.0002
92,0.5,0.0015,0.0,0.0003
93,0.5,0.001,0.0,0.0002
94,0.5,0.0015,0.0005,0.0007
95,0.5,0.001,0.0,0.0002
96,0.5,0.001,0.0,0.0002
97,0.5,0.001,0.000125,0.0003
98,0.5,0.001,0.0,0.0002
99,0.5,0.001,0.0,0.0002
0,0.5025025025025025,0.001,0.0,0.0002
1,0.5025025025025025,0.001,0.0,0.0002
2,0.5025025025025025,0.0015,0.000125,0.0004
3,0.5025025025025025,0.001,0.0,0.0002
4,0.5025025025025025,0.001,0.0,0.0002
5,0.5025025025025025,0.001,0.0,0.0002
6,0.5025025025025025,0.002,0.0,0.0004
7,0.5025025025025025,0.001,0.0,0.0002
8,0.5025025025025025,0.001,0.0,0.0002
9,0.5025025025025025,0.001,0.0,0.0002
10,0.5025025025025025,0.001,0.000625,0.0007
11,0.5025025025025025,0.001,0.0,0.0002
12,0.5025025025025025,0.001,0.000125,0.0003
13,0.5025025025025025,0.001,0.0,0.0002
14,0.5025025025025025,0.001,0.0,0.0002
15,0.5025025025025025,0.002,0.0,0.0004
16,0.5025025025025025,0.001,0.0,0.0002
17,0.5025025025025025,0.001,0.0,0.0002
18,0.5025025025025025,0.001,0.0,0.0002
19,0.5025025025025025,0.001,0.0,0.0002
20,0.5025025025025025,0.001,0.0,0.0002
21,0.5025025025025025,0.0015,0.000125,0.0004
22,0.5025025025025025,0.001,0.0,0.0002
23,0.5025025025025025,0.001,0.0,0.0002
24,0.5025025025025025,0.0015,0.0005,0.0007
25,0.5025025025025025,0.001,0.000125,0.0003
26,0.5025025025025025,0.001,0.000125,0.0003
27,0.5025025025025025,0.001,0.0,0.0002
28,0.5025025025025025,0.001,0.0,0.0002
29,0.5025025025025025,0.001,0.0,0.0002
30,0.5025025025025025,0.001,0.0,0.0002
31,0.5025025025025025,0.002,0.0,0.0004
32,0.5025025025025025,0.001,0.0,0.0002
33,0.5025025025025025,0.001,0.0,0.0002
34,0.5025025025025025,0.001,0.0,0.0002
35,0.5025025025025025,0.001,0.0,0.0002
36,0.5025025025025025,0.0015,0.0,0.0003
37,0.5025025025025025,0.001,0.000125,0.0003
38,0.5025025025025025,0.001,0.0,0.0002
39,0.5025025025025025,0.001,0.0,0.0002
40,0.5025025025025025,0.001,0.0,0.0002
41,0.5025025025025025,0.001,0.0,0.0002
42,0.5025025025025025,0.001,0.0,0.0002
43,0.5025025025025025,0.001,0.0,0.0002
44,0.5025025025025025,0.001,0.0,0.0002
45,0.5025025025025025,0.0015,0.0,0.0003
46,0.5025025025025025,0.001,0.0,0.0002
47,0.5025025025025025,0.001,0.0,0.0002
48,0.5025025025025025,0.0015,0.0005,0.0007
49,0.5025025025025025,0.001,0.0,0.0002
50,0.5025025025025025,0.002,0.000125,0.0005
51,0.5025025025025025,0.001,0.0,0.0002
52,0.5025025025025025,0.0015,0.0,0.0003
53,0.5025025025025025,0.001,0.0,0.0002
54,0.5025025025025025,0.001,0.0,0.0002
55,0.5025025025025025,0.002,0.001625,0.0017
56,0.5025025025025025,0.001,0.0,0.0002
57,0.5025025025025025,0.001,0.000125,0.0003
58,0.5025025025025025,0.0015,0.000375,0.0006
59,0.5025025025025025,0.001,0.0,0.0002
60,0.5025025025025025,0.001,0.0,0.0002
61,0.5025025025025025,0.001,0.0,0.0002
62,0.5025025025025025,0.001,0.0,0.0002
63,0.5025025025025025,0.001,0.0,0.0002
64,0.5025025025025025,0.001,0.0,0.0002
65,0.5025025025025025,0.001,0.0,0.0002
66,0.5025025025025025,0.001,0.0,0.0002
67,0.5025025025025025,0.0015,0.0,0.0003
68,0.5025025025025025,0.001,0.0,0.0002
69,0.5025025025025025,0.001,0.0,0.0002
70,0.5025025025025025,0.001,0.0,0.0002
71,0.5025025025025025,0.001,0.0,0.0002
72,0.5025025025025025,0.0015,0.0,0.0003
73,0.5025025025025025,0.001,0.0,0.0002
74,0.5025025025025025,0.001,0.0,0.0002
75,0.5025025025025025,0.001,0.0,0.0002
76,0.5025025025025025,0.001,0.0,0.0002
77,0.5025025025025025,0.001,0.0,0.0002
78,0.5025025025025025,0.001,0.0,0.0002
79,0.5025025025025025,0.001,0.0,0.0002
80,0.5025025025025025,0.001,0.0,0.0002
81,0.5025025025025025,0.001,0.0,0.0002
82,0.5025025025025025,0.001,0.0,0.0002
83,0.5025025025025025,0.002,0.0,0.0004
84,0.5025025025025025,0.0015,0.0,0.0003
85,0.5025025025025025,0.0015,0.0,0.0003
86,0.5025025025025025,0.0015,0.0,0.0003
87,0.5025025025025025,0.002,0.000125,0.0005
88,0.5025025025025025,0.001,0.0,0.0002
89,0.5025025025025025,0.001,0.0,0.0002
90,0.5025025025025025,0.001,0.0,0.0002
91,0.5025025025025025,0.001,0.0,0.0002
92,0.5025025025025025,0.0015,0.00025,0.0005
93,0.5025025025025025,0.0015,0.0,0.0003
94,0.5025025025025025,0.001,0.0,0.0002
95,0.5025025025025025,0.001,0.0,0.0002
96,0.5025025025025025,0.001,0.0,0.0002
97,0.5025025025025025,0.001,0.0,0.0002
98,0.5025025025025025,0.001,0.0,0.0002
99,0.5025025025025025,0.001,0.0,0.0002
0,0.505005005005005,0.001,0.0,0.0002
1,0.505005005005005,0.0015,0.000125,0.0004
2,0.505005005005005,0.001,0.0,0.0002
3,0.505005005005005,0.001,0.0,0.0002
4,0.505005005005005,0.001,0.0,0.0002
5,0.505005005005005,0.001,0.0,0.0002
6,0.505005005005005,0.0015,0.0,0.0003
7,0.505005005005005,0.0015,0.00025,0.0005
8,0.505005005005005,0.0015,0.0,0.0003
9,0.505005005005005,0.001,0.0,0.0002
10,0.505005005005005,0.001,0.0,0.0002
11,0.505005005005005,0.001,0.0,0.0002
12,0.505005005005005,0.001,0.0,0.0002
13,0.505005005005005,0.001,0.0,0.0002
14,0.505005005005005,0.001,0.0,0.0002
15,0.505005005005005,0.0015,0.0,0.0003
16,0.505005005005005,0.001,0.0,0.0002
17,0.505005005005005,0.001,0.0,0.0002
18,0.505005005005005,0.001,0.0,0.0002
19,0.505005005005005,0.001,0.0,0.0002
20,0.505005005005005,0.001,0.0,0.0002
21,0.505005005005005,0.001,0.0,0.0002
22,0.505005005005005,0.0015,0.000375,0.0006
23,0.505005005005005,0.001,0.0,0.0002
24,0.505005005005005,0.001,0.0,0.0002
25,0.505005005005005,0.001,0.0,0.0002
26,0.505005005005005,0.001,0.0,0.0002
27,0.505005005005005,0.001,0.0,0.0002
28,0.505005005005005,0.001,0.0,0.0002
29,0.505005005005005,0.0015,0.00025,0.0005
30,0.505005005005005,0.001,0.0,0.0002
31,0.505005005005005,0.001,0.0,0.0002
32,0.505005005005005,0.0045,0.000375,0.0012
33,0.505005005005005,0.001,0.0,0.0002
34,0.505005005005005,0.001,0.0,0.0002
35,0.505005005005005,0.001,0.0,0.0002
36,0.505005005005005,0.001,0.0,0.0002
37,0.505005005005005,0.001,0.0,0.0002
38,0.505005005005005,0.0015,0.00025,0.0005
39,0.505005005005005,0.001,0.0,0.0002
40,0.505005005005005,0.001,0.0,0.0002
41,0.505005005005005,0.001,0.0,0.0002
42,0.505005005005005,0.001,0.0,0.0002
43,0.505005005005005,0.0015,0.0,0.0003
44,0.505005005005005,0.001,0.0,0.0002
45,0.505005005005005,0.001,0.0,0.0002
46,0.505005005005005,0.001,0.0,0.0002
47,0.505005005005005,0.0025,0.0,0.0005
48,0.505005005005005,0.001,0.0,0.0002
49,0.505005005005005,0.001,0.0,0.0002
50,0.505005005005005,0.001,0.0,0.0002
51,0.505005005005005,0.001,0.0,0.0002
52,0.505005005005005,0.001,0.0,0.0002
53,0.505005005005005,0.001,0.0,0.0002
54,0.505005005005005,0.001,0.0,0.0002
55,0.505005005005005,0.002,0.001375,0.0015
56,0.505005005005005,0.001,0.0,0.0002
57,0.505005005005005,0.001,0.0,0.0002
58,0.505005005005005,0.0015,0.000125,0.0004
59,0.505005005005005,0.001,0.0,0.0002
60,0.505005005005005,0.001,0.0,0.0002
61,0.505005005005005,0.0015,0.000375,0.0006
62,0.505005005005005,0.0025,0.000375,0.0008
63,0.505005005005005,0.001,0.0,0.0002
64,0.505005005005005,0.001,0.0,0.0002
65,0.505005005005005,0.001,0.0,0.0002
66,0.505005005005005,0.001,0.0,0.0002
67,0.505005005005005,0.0015,0.0,0.0003
68,0.505005005005005,0.0015,0.0,0.0003
69,0.505005005005005,0.001,0.0,0.0002
70,0.505005005005005,0.001,0.0,0.0002
71,0.505005005005005,0.001,0.0,0.0002
72,0.505005005005005,0.001,0.0,0.0002
73,0.505005005005005,0.001,0.0,0.0002
74,0.505005005005005,0.0015,0.0,0.0003
75,0.505005005005005,0.002,0.001,0.0012
76,0.505005005005005,0.001,0.0,0.0002
77,0.505005005005005,0.001,0.0,0.0002
78,0.505005005005005,0.001,0.0,0.0002
79,0.505005005005005,0.001,0.0,0.0002
80,0.505005005005005,0.001,0.0,0.0002
81,0.505005005005005,0.001,0.0,0.0002
82,0.505005005005005,0.001,0.0,0.0002
83,0.505005005005005,0.001,0.0,0.0002
84,0.505005005005005,0.001,0.000125,0.0003
85,0.505005005005005,0.001,0.0,0.0002
86,0.505005005005005,0.001,0.0,0.0002
87,0.505005005005005,0.001,0.0,0.0002
88,0.505005005005005,0.001,0.0,0.0002
89,0.505005005005005,0.001,0.0,0.0002
90,0.505005005005005,0.001,0.000125,0.0003
91,0.505005005005005,0.0015,0.0,0.0003
92,0.505005005005005,0.001,0.0,0.0002
93,0.505005005005005,0.001,0.0,0.0002
94,0.505005005005005,0.001,0.000125,0.0003
95,0.505005005005005,0.001,0.0,0.0002
96,0.505005005005005,0.001,0.0,0.0002
97,0.505005005005005,0.001,0.0,0.0002
98,0.505005005005005,0.0015,0.0,0.0003
99,0.505005005005005,0.001,0.0,0.0002
0,0.5075075075075075,0.001,0.0,0.0002
1,0.5075075075075075,0.001,0.000125,0.0003
2,0.5075075075075075,0.001,0.0,0.0002
3,0.5075075075075075,0.001,0.0,0.0002
4,0.5075075075075075,0.001,0.0,0.0002
5,0.5075075075075075,0.001,0.0,0.0002
6,0.5075075075075075,0.001,0.0,0.0002
7,0.5075075075075075,0.001,0.0,0.0002
8,0.5075075075075075,0.001,0.0,0.0002
9,0.5075075075075075,0.001,0.00025,0.0004
10,0.5075075075075075,0.0015,0.000125,0.0004
11,0.5075075075075075,0.001,0.0,0.0002
12,0.5075075075075075,0.0015,0.0,0.0003
13,0.5075075075075075,0.002,0.0,0.0004
14,0.5075075075075075,0.001,0.0,0.0002
15,0.5075075075075075,0.001,0.0,0.0002
16,0.5075075075075075,0.001,0.0,0.0002
17,0.5075075075075075,0.0015,0.0,0.0003
18,0.5075075075075075,0.0015,0.0,0.0003
19,0.5075075075075075,0.001,0.0,0.0002
20,0.5075075075075075,0.0015,0.0,0.0003
21,0.5075075075075075,0.0015,0.0,0.0003
22,0.5075075075075075,0.001,0.0,0.0002
23,0.5075075075075075,0.001,0.0,0.0002
24,0.5075075075075075,0.001,0.0,0.0002
25,0.5075075075075075,0.001,0.0,0.0002
26,0.5075075075075075,0.001,0.0,0.0002
27,0.5075075075075075,0.001,0.0,0.0002
28,0.5075075075075075,0.001,0.0,0.0002
29,0.5075075075075075,0.001,0.0,0.0002
30,0.5075075075075075,0.001,0.0,0.0002
31,0.5075075075075075,0.001,0.000125,0.0003
32,0.5075075075075075,0.001,0.0,0.0002
33,0.5075075075075075,0.001,0.0,0.0002
34,0.5075075075075075,0.0015,0.0,0.0003
35,0.5075075075075075,0.0015,0.0,0.0003
36,0.5075075075075075,0.001,0.00025,0.0004
37,0.5075075075075075,0.001,0.0,0.0002
38,0.5075075075075075,0.0015,0.000125,0.0004
39,0.5075075075075075,0.001,0.000125,0.0003
40,0.5075075075075075,0.001,0.000125,0.0003
41,0.5075075075075075,0.0015,0.0,0.0003
42,0.5075075075075075,0.001,0.0,0.0002
43,0.5075075075075075,0.0015,0.0,0.0003
44,0.5075075075075075,0.001,0.00025,0.0004
45,0.5075075075075075,0.001,0.0,0.0002
46,0.5075075075075075,0.001,0.0,0.0002
47,0.5075075075075075,0.001,0.00075,0.0008
48,0.5075075075075075,0.002,0.00025,0.0006
49,0.5075075075075075,0.001,0.0,0.0002
50,0.5075075075075075,0.001,0.0,0.0002
51,0.5075075075075075,0.001,0.0,0.0002
52,0.5075075075075075,0.001,0.0,0.0002
53,0.5075075075075075,0.001,0.0,0.0002
54,0.5075075075075075,0.001,0.0,0.0002
55,0.5075075075075075,0.001,0.0,0.0002
56,0.5075075075075075,0.001,0.0,0.0002
57,0.5075075075075075,0.001,0.0,0.0002
58,0.5075075075075075,0.0015,0.0,0.0003
59,0.5075075075075075,0.001,0.0,0.0002
60,0.5075075075075075,0.001,0.0,0.0002
61,0.5075075075075075,0.001,0.0,0.0002
62,0.5075075075075075,0.0025,0.000375,0.0008
63,0.5075075075075075,0.001,0.0,0.0002
64,0.5075075075075075,0.001,0.0,0.0002
65,0.5075075075075075,0.001,0.0,0.0002
66,0.5075075075075075,0.004,0.000875,0.0015
67,0.5075075075075075,0.001,0.0,0.0002
68,0.5075075075075075,0.001,0.0,0.0002
69,0.5075075075075075,0.001,0.0,0.0002
70,0.5075075075075075,0.001,0.0,0.0002
71,0.5075075075075075,0.001,0.0,0.0002
72,0.5075075075075075,0.001,0.0,0.0002
73,0.5075075075075075,0.001,0.0,0.0002
74,0.5075075075075075,0.001,0.0,0.0002
75,0.5075075075075075,0.001,0.0,0.0002
76,0.5075075075075075,0.001,0.0,0.0002
77,0.5075075075075075,0.001,0.0,0.0002
78,0.5075075075075075,0.001,0.0,0.0002
79,0.5075075075075075,0.0015,0.000125,0.0004
80,0.5075075075075075,0.001,0.000125,0.0003
81,0.5075075075075075,0.001,0.0,0.0002
82,0.5075075075075075,0.001,0.0,0.0002
83,0.5075075075075075,0.0025,0.001125,0.0014
84,0.5075075075075075,0.001,0.000125,0.0003
85,0.5075075075075075,0.001,0.000125,0.0003
86,0.5075075075075075,0.0015,0.0,0.0003
87,0.5075075075075075,0.001,0.0,0.0002
88,0.5075075075075075,0.001,0.0,0.0002
89,0.5075075075075075,0.001,0.000125,0.0003
90,0.5075075075075075,0.001,0.0,0.0002
91,0.5075075075075075,0.001,0.0,0.0002
92,0.5075075075075075,0.002,0.0,0.0004
93,0.5075075075075075,0.001,0.0,0.0002
94,0.5075075075075075,0.001,0.0,0.0002
95,0.5075075075075075,0.0015,0.0,0.0003
96,0.5075075075075075,0.0015,0.0,0.0003
97,0.5075075075075075,0.001,0.0,0.0002
98,0.5075075075075075,0.001,0.0,0.0002
99,0.5075075075075075,0.001,0.0,0.0002
0,0.51001001001001,0.001,0.0,0.0002
1,0.51001001001001,0.0015,0.000375,0.0006
2,0.51001001001001,0.001,0.0,0.0002
3,0.51001001001001,0.0015,0.0,0.0003
4,0.51001001001001,0.001,0.0,0.0002
5,0.51001001001001,0.0015,0.0,0.0003
6,0.51001001001001,0.0015,0.000125,0.0004
7,0.51001001001001,0.001,0.0,0.0002
8,0.51001001001001,0.001,0.000125,0.0003
9,0.51001001001001,0.001,0.000125,0.0003
10,0.51001001001001,0.001,0.000125,0.0003
11,0.51001001001001,0.001,0.0,0.0002
12,0.51001001001001,0.001,0.0,0.0002
13,0.51001001001001,0.001,0.0,0.0002
14,0.51001001001001,0.001,0.0,0.0002
15,0.51001001001001,0.001,0.0,0.0002
16,0.51001001001001,0.0015,0.0,0.0003
17,0.51001001001001,0.001,0.0,0.0002
18,0.51001001001001,0.0015,0.0,0.0003
19,0.51001001001001,0.001,0.0,0.0002
20,0.51001001001001,0.0015,0.0,0.0003
21,0.51001001001001,0.001,0.0,0.0002
22,0.51001001001001,0.0015,0.000125,0.0004
23,0.51001001001001,0.001,0.000125,0.0003
24,0.51001001001001,0.001,0.0,0.0002
25,0.51001001001001,0.001,0.0,0.0002
26,0.51001001001001,0.001,0.0,0.0002
27,0.51001001001001,0.003,0.0,0.0006
28,0.51001001001001,0.001,0.0,0.0002
29,0.51001001001001,0.0015,0.0,0.0003
30,0.51001001001001,0.001,0.0,0.0002
31,0.51001001001001,0.002,0.0,0.0004
32,0.51001001001001,0.001,0.0,0.0002
33,0.51001001001001,0.001,0.0,0.0002
34,0.51001001001001,0.001,0.0,0.0002
35,0.51001001001001,0.001,0.0,0.0002
36,0.51001001001001,0.001,0.0,0.0002
37,0.51001001001001,0.001,0.000125,0.0003
38,0.51001001001001,0.001,0.000125,0.0003
39,0.51001001001001,0.001,0.0,0.0002
40,0.51001001001001,0.001,0.0,0.0002
41,0.51001001001001,0.001,0.0,0.0002
42,0.51001001001001,0.001,0.0,0.0002
43,0.51001001001001,0.001,0.0,0.0002
44,0.51001001001001,0.001,0.000125,0.0003
45,0.51001001001001,0.002,0.0,0.0004
46,0.51001001001001,0.001,0.0,0.0002
47,0.51001001001001,0.001,0.0,0.0002
48,0.51001001001001,0.001,0.0,0.0002
49,0.51001001001001,0.001,0.000125,0.0003
50,0.51001001001001,0.001,0.0,0.0002
51,0.51001001001001,0.001,0.000375,0.0005
52,0.51001001001001,0.001,0.0,0.0002
53,0.51001001001001,0.001,0.0,0.0002
54,0.51001001001001,0.002,0.0,0.0004
55,0.51001001001001,0.001,0.0,0.0002
56,0.51001001001001,0.001,0.0,0.0002
57,0.51001001001001,0.001,0.0,0.0002
58,0.51001001001001,0.001,0.0,0.0002
59,0.51001001001001,0.001,0.0,0.0002
60,0.51001001001001,0.001,0.0,0.0002
61,0.51001001001001,0.001,0.0,0.0002
62,0.51001001001001,0.001,0.0,0.0002
63,0.51001001001001,0.001,0.0,0.0002
64,0.51001001001001,0.001,0.0,0.0002
65,0.51001001001001,0.0015,0.000125,0.0004
66,0.51001001001001,0.002,0.0005,0.0008
67,0.51001001001001,0.001,0.0,0.0002
68,0.51001001001001,0.001,0.0,0.0002
69,0.51001001001001,0.001,0.0,0.0002
70,0.51001001001001,0.0015,0.0,0.0003
71,0.51001001001001,0.001,0.0,0.0002
72,0.51001001001001,0.001,0.0,0.0002
73,0.51001001001001,0.001,0.0,0.0002
74,0.51001001001001,0.001,0.0,0.0002
75,0.51001001001001,0.0015,0.0,0.0003
76,0.51001001001001,0.001,0.000125,0.0003
77,0.51001001001001,0.001,0.0,0.0002
78,0.51001001001001,0.001,0.0,0.0002
79,0.51001001001001,0.001,0.0,0.0002
80,0.51001001001001,0.001,0.0,0.0002
81,0.51001001001001,0.001,0.0,0.0002
82,0.51001001001001,0.001,0.0,0.0002
83,0.51001001001001,0.001,0.0,0.0002
84,0.51001001001001,0.001,0.0,0.0002
85,0.51001001001001,0.001,0.0,0.0002
86,0.51001001001001,0.001,0.0,0.0002
87,0.51001001001001,0.001,0.0,0.0002
88,0.51001001001001,0.001,0.0,0.0002
89,0.51001001001001,0.0015,0.0,0.0003
90,0.51001001001001,0.0025,0.0,0.0005
91,0.51001001001001,0.001,0.0,0.0002
92,0.51001001001001,0.001,0.0,0.0002
93,0.51001001001001,0.001,0.0,0.0002
94,0.51001001001001,0.001,0.0,0.0002
95,0.51001001001001,0.001,0.0,0.0002
96,0.51001001001001,0.0015,0.0,0.0003
97,0.51001001001001,0.001,0.000125,0.0003
98,0.51001001001001,0.001,0.0,0.0002
99,0.51001001001001,0.001,0.0,0.0002
0,0.5125125125125125,0.001,0.0,0.0002
1,0.5125125125125125,0.0015,0.0,0.0003
2,0.5125125125125125,0.0025,0.001125,0.0014
3,0.5125125125125125,0.001,0.0,0.0002
4,0.5125125125125125,0.002,0.0,0.0004
5,0.5125125125125125,0.001,0.0,0.0002
6,0.5125125125125125,0.001,0.000375,0.0005
7,0.5125125125125125,0.001,0.0,0.0002
8,0.5125125125125125,0.001,0.0,0.0002
9,0.5125125125125125,0.001,0.0,0.0002
10,0.5125125125125125,0.001,0.0,0.0002
11,0.5125125125125125,0.001,0.0,0.0002
12,0.5125125125125125,0.001,0.0,0.0002
13,0.5125125125125125,0.0015,0.0,0.0003
14,0.5125125125125125,0.001,0.0,0.0002
15,0.5125125125125125,0.001,0.0,0.0002
16,0.5125125125125125,0.0015,0.0,0.0003
17,0.5125125125125125,0.001,0.0,0.0002
18,0.5125125125125125,0.001,0.0,0.0002
19,0.5125125125125125,0.0015,0.000125,0.0004
20,0.5125125125125125,0.001,0.0,0.0002
21,0.5125125125125125,0.0015,0.0,0.0003
22,0.5125125125125125,0.001,0.0,0.0002
23,0.5125125125125125,0.001,0.0,0.0002
24,0.5125125125125125,0.0015,0.0,0.0003
25,0.5125125125125125,0.001,0.0,0.0002
26,0.5125125125125125,0.001,0.0,0.0002
27,0.5125125125125125,0.001,0.0,0.0002
28,0.5125125125125125,0.001,0.0,0.0002
29,0.5125125125125125,0.001,0.0,0.0002
30,0.5125125125125125,0.001,0.0,0.0002
31,0.5125125125125125,0.001,0.0,0.0002
32,0.5125125125125125,0.001,0.0,0.0002
33,0.5125125125125125,0.001,0.0,0.0002
34,0.5125125125125125,0.001,0.0,0.0002
35,0.5125125125125125,0.001,0.0,0.0002
36,0.5125125125125125,0.001,0.0,0.0002
37,0.5125125125125125,0.001,0.0,0.0002
38,0.5125125125125125,0.0015,0.000125,0.0004
39,0.5125125125125125,0.001,0.0,0.0002
40,0.5125125125125125,0.001,0.0,0.0002
41,0.5125125125125125,0.0025,0.00025,0.0007
42,0.5125125125125125,0.001,0.00025,0.0004
43,0.5125125125125125,0.0015,0.0,0.0003
44,0.5125125125125125,0.001,0.0,0.0002
45,0.5125125125125125,0.001,0.0,0.0002
46,0.5125125125125125,0.001,0.0,0.0002
47,0.5125125125125125,0.001,0.0,0.0002
48,0.5125125125125125,0.001,0.0,0.0002
49,0.5125125125125125,0.001,0.0,0.0002
50,0.5125125125125125,0.001,0.0,0.0002
51,0.5125125125125125,0.001,0.0,0.0002
52,0.5125125125125125,0.001,0.0,0.0002
53,0.5125125125125125,0.001,0.0,0.0002
54,0.5125125125125125,0.001,0.0,0.0002
55,0.5125125125125125,0.001,0.0,0.0002
56,0.5125125125125125,0.001,0.0,0.0002
57,0.5125125125125125,0.001,0.0,0.0002
58,0.5125125125125125,0.0015,0.0,0.0003
59,0.5125125125125125,0.001,0.000125,0.0003
60,0.5125125125125125,0.001,0.0,0.0002
61,0.5125125125125125,0.001,0.0,0.0002
62,0.5125125125125125,0.001,0.000375,0.0005
63,0.5125125125125125,0.001,0.0,0.0002
64,0.5125125125125125,0.0015,0.0,0.0003
65,0.5125125125125125,0.001,0.0,0.0002
66,0.5125125125125125,0.001,0.0,0.0002
67,0.5125125125125125,0.001,0.0,0.0002
68,0.5125125125125125,0.001,0.0,0.0002
69,0.5125125125125125,0.001,0.0,0.0002
70,0.5125125125125125,0.001,0.0,0.0002
71,0.5125125125125125,0.0015,0.0,0.0003
72,0.5125125125125125,0.001,0.0,0.0002
73,0.5125125125125125,0.0015,0.0,0.0003
74,0.5125125125125125,0.001,0.0,0.0002
75,0.5125125125125125,0.0015,0.0,0.0003
76,0.5125125125125125,0.001,0.0,0.0002
77,0.5125125125125125,0.001,0.0,0.0002
78,0.5125125125125125,0.001,0.0,0.0002
79,0.5125125125125125,0.001,0.0,0.0002
80,0.5125125125125125,0.001,0.000125,0.0003
81,0.5125125125125125,0.001,0.0,0.0002
82,0.5125125125125125,0.001,0.0,0.0002
83,0.5125125125125125,0.001,0.0,0.0002
84,0.5125125125125125,0.0015,0.000125,0.0004
85,0.5125125125125125,0.001,0.00025,0.0004
86,0.5125125125125125,0.001,0.0,0.0002
87,0.5125125125125125,0.001,0.0,0.0002
88,0.5125125125125125,0.001,0.0,0.0002
89,0.5125125125125125,0.001,0.000125,0.0003
90,0.5125125125125125,0.001,0.0,0.0002
91,0.5125125125125125,0.001,0.0,0.0002
92,0.5125125125125125,0.0015,0.0,0.0003
93,0.5125125125125125,0.002,0.0,0.0004
94,0.5125125125125125,0.001,0.0,0.0002
95,0.5125125125125125,0.002,0.001,0.0012
96,0.5125125125125125,0.001,0.000125,0.0003
97,0.5125125125125125,0.001,0.0,0.0002
98,0.5125125125125125,0.001,0.00025,0.0004
99,0.5125125125125125,0.001,0.0,0.0002
0,0.515015015015015,0.001,0.000875,0.0009
1,0.515015015015015,0.001,0.0,0.0002
2,0.515015015015015,0.001,0.0,0.0002
